mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01594085693359375,0.0005722548820328717,0.005697011947631836,0.00028249295761554916,14.062605682341312,{'classifier__C': np.float64(14.062605682341312)},1.0,1.0,0.9583333333333334,0.9583333333333334,1.0,0.9833333333333334,0.02041241452319313,1
0.02461209297180176,0.0028187699943353125,0.008627939224243163,0.002962393976814769,78253.38185926492,{'classifier__C': np.float64(78253.38185926492)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.01733059883117676,0.0035489399019825838,0.005684471130371094,0.0009605214672443993,8108.175728837717,{'classifier__C': np.float64(8108.175728837717)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.018422985076904298,0.003950716239002084,0.007352352142333984,0.002186833943170035,1.712861498068912,{'classifier__C': np.float64(1.712861498068912)},1.0,1.0,0.9166666666666666,0.9583333333333334,1.0,0.975,0.03333333333333334,2
0.02061610221862793,0.004210833022632519,0.0069636344909667965,0.001162354639684052,620.951561850155,{'classifier__C': np.float64(620.951561850155)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.017610979080200196,0.0033271979216293293,0.006896162033081054,0.0021205808827088205,1.9051809038400769,{'classifier__C': np.float64(1.9051809038400769)},1.0,1.0,0.9166666666666666,0.9583333333333334,1.0,0.975,0.03333333333333334,2
0.020006895065307617,0.00839790154547194,0.00562582015991211,0.000455361725425889,2.0546450181660654,{'classifier__C': np.float64(2.0546450181660654)},1.0,1.0,0.9166666666666666,0.9583333333333334,1.0,0.975,0.03333333333333334,2
0.01550745964050293,0.0018231825499884272,0.005551576614379883,0.0007000843033866683,3.7535172381559128,{'classifier__C': np.float64(3.7535172381559128)},1.0,1.0,0.9166666666666666,0.9583333333333334,1.0,0.975,0.03333333333333334,2
0.024187755584716798,0.009075038176635797,0.006930065155029297,0.00010254919390211986,3.6214173540464936,{'classifier__C': np.float64(3.6214173540464936)},1.0,1.0,0.9166666666666666,0.9583333333333334,1.0,0.975,0.03333333333333334,2
0.019115781784057616,0.001587980667314043,0.006499767303466797,0.0005207405192539616,301.12893703671375,{'classifier__C': np.float64(301.12893703671375)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.01541132926940918,0.0005624711654687683,0.004682159423828125,0.00044524659370002425,158.5324934851693,{'classifier__C': np.float64(158.5324934851693)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.014616870880126953,0.001706674475064313,0.004515647888183594,0.0008315745975168544,391.728682618922,{'classifier__C': np.float64(391.728682618922)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.013681936264038085,0.004175993757182473,0.007746505737304688,0.0046346962409276465,13702.373949438423,{'classifier__C': np.float64(13702.373949438423)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.013895416259765625,0.0007507797436851097,0.005631780624389649,0.000669004548383139,140686.47217583383,{'classifier__C': np.float64(140686.47217583383)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.014242744445800782,0.0030019616791014353,0.004727554321289062,0.0006212629225760197,34852.87348359762,{'classifier__C': np.float64(34852.87348359762)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.015146398544311523,0.0011192550848610507,0.004739904403686523,0.0004862032057851434,36.50091800711858,{'classifier__C': np.float64(36.50091800711858)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.01358952522277832,0.0021944970642365034,0.005638504028320312,0.0011333643546098606,2.90551962851461,{'classifier__C': np.float64(2.90551962851461)},1.0,1.0,0.9166666666666666,0.9583333333333334,1.0,0.975,0.03333333333333334,2
0.01590452194213867,0.002930144012728321,0.005886077880859375,0.0008211910757303409,23.84463278677201,{'classifier__C': np.float64(23.84463278677201)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.01750807762145996,0.002717109360975757,0.00719141960144043,0.0021741371325244,131.40579990488763,{'classifier__C': np.float64(131.40579990488763)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.01812634468078613,0.0029823383465434746,0.0056060791015625,0.0011173112271940628,208.45563845074815,{'classifier__C': np.float64(208.45563845074815)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.026183414459228515,0.006451020660690538,0.007907342910766602,0.00366428080954427,592.2084142915837,{'classifier__C': np.float64(592.2084142915837)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.023123645782470705,0.006033172240152089,0.008020114898681641,0.003876705118017697,316238.4247340459,{'classifier__C': np.float64(316238.4247340459)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
0.021462011337280273,0.005225522372148071,0.008619403839111328,0.004565555690717337,248022.0288518376,{'classifier__C': np.float64(248022.0288518376)},0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.975,0.020412414523193135,2
